Crop group,Name of Crop,2001-2005,2006-2007,2008-2009,2010-11,2011-12
CEREAL CROPS,Wheat,44.0,26.0,22.0,11.0,10.0
CEREAL CROPS,Barley,12.0,5.0,4.0,4.0,2.0
CEREAL CROPS,Paddy,98.0,75.0,67.0,30.0,6.0
CEREAL CROPS,Maize ,48.0,23.0,23.0,7.0,6.0
CEREAL CROPS,Sorghum,16.0,8.0,7.0,2.0,
CEREAL CROPS,Pearl millet,14.0,11.0,11.0,8.0,4.0
CEREAL CROPS,Small millet,14.0,6.0,18.0,2.0,3.0
CEREAL CROPS,Sub-Total,246.0,154.0,152.0,64.0,31.0
PULSE CROPS,Chickpea,20.0,22.0,7.0,7.0,2.0
PULSE CROPS,Green gram  (Moong),12.0,7.0,9.0,3.0,1.0
PULSE CROPS,Black gram (Urdbean),4.0,5.0,7.0,5.0,2.0
PULSE CROPS,Cowpea,4.0,1.0,3.0,3.0,
PULSE CROPS,Pigeonpea,11.0,11.0,5.0,1.0,1.0
PULSE CROPS,Rajmash  (French bean),7.0,3.0,,1.0,
PULSE CROPS,Horse gram or Kulthi,1.0,2.0,,,1.0
PULSE CROPS,Ricebean/Indianbean,1.0,,,1.0,
PULSE CROPS,Lentil,2.0,5.0,6.0,2.0,3.0
PULSE CROPS,Fieldpea,1.0,8.0,3.0,3.0,2.0
PULSE CROPS,Mothbean,2.0,2.0,,,
PULSE CROPS,Sub-Total,65.0,66.0,40.0,26.0,12.0
OILSEED CROPS,Groundnut,19.0,15.0,18.0,8.0,4.0
OILSEED CROPS,Linseed,6.0,3.0,3.0,4.0,2.0
OILSEED CROPS,Rapeseed-Mustard group ,18.0,12.0,16.0,7.0,1.0
OILSEED CROPS,Sunflower,9.0,3.0,3.0,1.0,
OILSEED CROPS,Sesamum,4.0,8.0,7.0,2.0,
OILSEED CROPS,Safflower,4.0,3.0,1.0,,
OILSEED CROPS,Soybean,10.0,10.0,8.0,2.0,1.0
OILSEED CROPS,Niger,4.0,,4.0,1.0,1.0
OILSEED CROPS,Castor,3.0,3.0,,2.0,1.0
OILSEED CROPS,Toria,,,1.0,,
OILSEED CROPS,Taramira,,,,2.0,
OILSEED CROPS,Babchi,,,,1.0,
OILSEED CROPS,Sub-Total,77.0,57.0,61.0,30.0,10.0
SUGAR CROPS,Sugar cane,16.0,8.0,8.0,5.0,2.0
SUGAR CROPS,Sub-Total,16.0,8.0,8.0,5.0,2.0
FIBER CROPS,Cotton,24.0,16.0,14.0,11.0,
FIBER CROPS,Jute ,5.0,,5.0,2.0,
FIBER CROPS,Sunhemp,2.0,,1.0,,
FIBER CROPS,Dhaincha,2.0,,,,
FIBER CROPS,Mesta (Roselle),,2.0,1.0,2.0,1.0
FIBER CROPS,Lucerne,,,1.0,,
FIBER CROPS,Sub-Total,33.0,18.0,22.0,15.0,1.0
FORAGE CROPS,Berseem,1.0,2.0,,,
FORAGE CROPS,Bajra,1.0,,3.0,,1.0
FORAGE CROPS,Sorghum,3.0,,,,3.0
FORAGE CROPS,Oat,2.0,2.0,,3.0,
FORAGE CROPS,Cowpea,2.0,3.0,1.0,1.0,
FORAGE CROPS,Red Clover,1.0,,,,
FORAGE CROPS,Cluster bean / Guar,3.0,2.0,1.0,4.0,
FORAGE CROPS,Horse gram,,,4.0,1.0,
FORAGE CROPS,Grasses,,,9.0,,
FORAGE CROPS,Hybrid Napier Grass,1.0,,1.0,1.0,
FORAGE CROPS,Fescue grass,1.0,,,,
FORAGE CROPS,Setaria grass,1.0,,,,
FORAGE CROPS,Guinea grass,1.0,,1.0,,
FORAGE CROPS,Anjan grass,2.0,1.0,,,
FORAGE CROPS,Tall fescue grass,,,,1.0,
FORAGE CROPS,Marvel grass,,,,1.0,
FORAGE CROPS,Sub-Total,19.0,10.0,20.0,12.0,4.0
UNDER UTILIZED CROPS,Grain Amarnaths,1.0,3.0,2.0,1.0,
UNDER UTILIZED CROPS,Jobs tear,,,1.0,,
UNDER UTILIZED CROPS,(Coix aquatica),,,,,
UNDER UTILIZED CROPS,Buck wheat ,,1.0,,,
UNDER UTILIZED CROPS,Sub-Total,1.0,4.0,3.0,1.0,
OTHERS,Jatropha,,1.0,,,
OTHERS,Sub-Total,,1.0,,,
COMMERCIAL CROPS,Tobacco,,,1.0,,
COMMERCIAL CROPS,Sub-Total,,,1.0,,
Grand Total,Grand Total,457.0,318.0,307.0,153.0,60.0
